report_date,cert,total_assets,borrowings
,,,
2023-12-31,10057.0,38.0,-2.0
2023-12-31,3850.0,213.0,0.0
2023-12-31,28868.0,1226.0,-1734.0
2023-12-31,14083.0,138.0,0.0
2023-12-31,10202.0,464.0,0.0
2023-12-31,6959.0,5844.0,-1358.0
2023-12-31,17639.0,1023.0,0.0
2023-12-31,9392.0,1370.0,0.0
2023-12-31,19184.0,1420.0,-1661.0
2023-12-31,3384.0,248.0,0.0
2023-12-31,22430.0,565.0,0.0
2023-12-31,23597.0,1950.0,-272.0
2023-12-31,17230.0,3180.0,0.0
2023-12-31,5408.0,354.0,3.0
2023-12-31,5410.0,310.0,-749.0
2023-12-31,16103.0,70.0,0.0
2023-12-31,15671.0,443.0,0.0
2023-12-31,28865.0,3504.0,-1495.0
2023-12-31,13157.0,780.0,0.0
2023-12-31,16440.0,233.0,-3.0
2023-12-31,24332.0,2849.0,0.0
2023-12-31,15496.0,1148.0,0.0
2023-12-31,7506.0,1314.0,-5228.0
2023-12-31,19434.0,2805.0,-7.0
2023-12-31,15194.0,2962.0,-113.0
2023-12-31,15699.0,897.0,0.0
2023-12-31,9923.0,10753.0,0.0
2023-12-31,20015.0,17328.0,-20.0
2023-12-31,5779.0,324.0,-2.0
2023-12-31,28870.0,1216.0,4.0
2023-12-31,13962.0,407.0,-60.0
2023-12-31,15904.0,122.0,0.0
2023-12-31,3388.0,109.0,4.0
2023-12-31,847.0,49.0,34.0
2023-12-31,20268.0,6384.0,0.0
2023-12-31,14311.0,719.0,0.0
2023-12-31,6423.0,24615.0,0.0
2023-12-31,15899.0,1906.0,0.0
2023-12-31,1607.0,872.0,0.0
2023-12-31,15050.0,1412.0,0.0
2023-12-31,8172.0,955.0,0.0
2023-12-31,19070.0,365.0,0.0
2023-12-31,5709.0,251.0,-1.0
2023-12-31,17011.0,1697.0,0.0
2023-12-31,12201.0,232.0,0.0
2023-12-31,6560.0,1370735.0,-6779.0
2023-12-31,10012.0,1694.0,0.0
2023-12-31,1291.0,8208.0,22.0
2023-12-31,23622.0,22412.0,0.0
2023-12-31,10185.0,306.0,0.0
2023-12-31,5425.0,23.0,0.0
2023-12-31,9378.0,865.0,0.0
2023-12-31,16795.0,527.0,0.0
2023-12-31,18101.0,104.0,0.0
2023-12-31,16243.0,573.0,0.0
2023-12-31,30291.0,43.0,0.0
2023-12-31,10956.0,201.0,-316.0
2023-12-31,26189.0,0.0,0.0
2023-12-31,4365.0,98351.0,-6652.0
2023-12-31,26260.0,96.0,0.0
2023-12-31,2224.0,4889.0,91.0
2023-12-31,29904.0,57.0,0.0
2023-12-31,3091.0,1215.0,-1392.0
2023-12-31,7900.0,28723.0,0.0
2023-12-31,9998.0,1179.0,-150.0
2023-12-31,4147.0,12976.0,-16.0
2023-12-31,9881.0,150.0,-1649.0
2023-12-31,15477.0,3118.0,0.0
2023-12-31,34711.0,2499.0,0.0
2023-12-31,10015.0,1064.0,0.0
2023-12-31,6803.0,997.0,-37.0
2023-12-31,10998.0,4625.0,-522.0
2023-12-31,16583.0,7.0,0.0
2023-12-31,22263.0,425.0,0.0
2023-12-31,12511.0,403.0,-171.0
2023-12-31,1753.0,81.0,-41.0
2023-12-31,8162.0,725.0,0.0
2023-12-31,10576.0,49.0,-8.0
2023-12-31,2452.0,994.0,-1237.0
2023-12-31,5162.0,290.0,2.0
2023-12-31,6976.0,149428.0,-1447.0
2023-12-31,90.0,281.0,0.0
2023-12-31,5357.0,446.0,0.0
2023-12-31,15995.0,9157.0,1704.0
2023-12-31,32307.0,19.0,0.0
2023-12-31,10178.0,230.0,0.0
2023-12-31,12788.0,1618.0,-827.0
2023-12-31,20093.0,11245.0,0.0
2023-12-31,22536.0,2666.0,0.0
2023-12-31,3405.0,27715.0,0.0
2023-12-31,29294.0,2413.0,-423.0
2023-12-31,10663.0,352.0,73.0
2023-12-31,1527.0,1153.0,29.0
2023-12-31,28710.0,28589.0,-17.0
2023-12-31,11415.0,2247.0,-58.0
2023-12-31,29293.0,821.0,-18.0
2023-12-31,1475.0,221.0,-2.0
2023-12-31,31711.0,82.0,0.0
2023-12-31,12204.0,6220.0,-1986.0
2023-12-31,30303.0,3670.0,0.0
2023-12-31,26658.0,190.0,0.0
2023-12-31,14240.0,991.0,-1871.0
2023-12-31,8193.0,617.0,0.0
2023-12-31,5649.0,2449037.0,0.0
2023-12-31,2160.0,337.0,-31.0
2023-12-31,17612.0,3482.0,33.0
2023-12-31,11904.0,22.0,0.0
2023-12-31,6863.0,4172.0,38.0
2023-12-31,8243.0,74.0,0.0
2023-12-31,3639.0,692.0,-2133.0
2023-12-31,21693.0,3349.0,0.0
2023-12-31,28894.0,2906.0,5.0
2023-12-31,1027.0,419.0,-2.0
2023-12-31,21714.0,4485.0,-442.0
2023-12-31,31723.0,5.0,0.0
2023-12-31,10075.0,33.0,0.0
2023-12-31,15545.0,8771.0,71.0
2023-12-31,22081.0,1089.0,0.0
2023-12-31,131.0,84344.0,-2935.0
2023-12-31,14695.0,569.0,0.0
2023-12-31,13083.0,1986.0,-53.0
2023-12-31,1946.0,374.0,0.0
2023-12-31,14.0,360000.0,-294000.0
2023-12-31,11235.0,326.0,-242.0
2023-12-31,30313.0,415.0,0.0
2023-12-31,15907.0,331.0,-40.0
2023-12-31,19163.0,24.0,0.0
2023-12-31,13030.0,459.0,0.0
2023-12-31,21085.0,513.0,0.0
2023-12-31,172.0,5626.0,0.0
2023-12-31,17393.0,32822.0,40.0
2023-12-31,12758.0,13.0,0.0
2023-12-31,11711.0,1245.0,5.0
2023-12-31,13112.0,864.0,0.0
2023-12-31,5874.0,3067.0,-652.0
2023-12-31,4032.0,5402.0,144.0
2023-12-31,11817.0,20.0,0.0
2023-12-31,59070.0,54736.0,0.0
2023-12-31,10980.0,1903.0,-36.0
2023-12-31,12283.0,145.0,0.0
2023-12-31,6913.0,440.0,0.0
2023-12-31,14017.0,5977.0,0.0
2023-12-31,70.0,684.0,-4.0
2023-12-31,3110.0,50.0,0.0
2023-12-31,30315.0,1060.0,0.0
2023-12-31,7468.0,69281.0,-103.0
2023-12-31,3887.0,3036.0,0.0
2023-12-31,12246.0,530.0,-9.0
2023-12-31,9036.0,179.0,0.0
2023-12-31,17685.0,4585.0,0.0
2023-12-31,5141.0,126.0,0.0
2023-12-31,18155.0,324.0,0.0
2023-12-31,4364.0,2742.0,-4.0
2023-12-31,25258.0,3894.0,0.0
2023-12-31,9647.0,1336.0,273.0
2023-12-31,16126.0,565.0,-9.0
2023-12-31,6637.0,318.0,0.0
2023-12-31,5740.0,87.0,-52.0
2023-12-31,14534.0,217.0,0.0
2023-12-31,9818.0,666.0,0.0
2023-12-31,22070.0,133.0,0.0
2023-12-31,17927.0,357.0,-146.0
2023-12-31,5170.0,2598.0,-1735.0
2023-12-31,16470.0,13347.0,-147.0
2023-12-31,28908.0,79.0,0.0
2023-12-31,1610.0,1630.0,0.0
2023-12-31,2765.0,679.0,-76.0
2023-12-31,5033.0,1449.0,0.0
2023-12-31,18038.0,2227.0,-2.0
2023-12-31,4775.0,274.0,-1.0
2023-12-31,16778.0,105.0,0.0
2023-12-31,28905.0,4359.0,0.0
2023-12-31,9517.0,819.0,-367.0
2023-12-31,10212.0,1721.0,0.0
2023-12-31,9265.0,40.0,0.0
2023-12-31,19371.0,6490.0,0.0
2023-12-31,16473.0,291.0,-351.0
2023-12-31,26727.0,55.0,0.0
2023-12-31,4041.0,506.0,0.0
2023-12-31,14561.0,59.0,0.0
2023-12-31,23242.0,142.0,0.0
2023-12-31,9176.0,3362.0,78.0
2023-12-31,22839.0,15.0,0.0
2023-12-31,16436.0,301.0,0.0
2023-12-31,14445.0,929.0,0.0
2023-12-31,90544.0,0.0,0.0
2023-12-31,8980.0,679.0,-46.0
2023-12-31,11916.0,52.0,0.0
2023-12-31,1868.0,1184.0,0.0
2023-12-31,12501.0,3649.0,-216.0
2023-12-31,32526.0,12903.0,-14965.0
2023-12-31,16539.0,280.0,10.0
2023-12-31,10319.0,296.0,0.0
2023-12-31,1150.0,103.0,-483.0
2023-12-31,28914.0,504.0,-2857.0
2023-12-31,10218.0,1996.0,-1.0
2023-12-31,3250.0,32726.0,0.0
2023-12-31,14769.0,1863.0,0.0
2023-12-31,9888.0,4281.0,-40.0
2023-12-31,14468.0,256.0,0.0
2023-12-31,17162.0,6295.0,-416.0
2023-12-31,769.0,391.0,0.0
2023-12-31,20296.0,48130.0,-1993.0
2023-12-31,9733.0,177.0,0.0
2023-12-31,421.0,426.0,-440.0
2023-12-31,11448.0,703.0,-42.0
2023-12-31,1409.0,703.0,-33.0
2023-12-31,1281.0,68081.0,0.0
2023-12-31,698.0,3620.0,-209.0
2023-12-31,3127.0,1329.0,0.0
2023-12-31,30680.0,521.0,0.0
2023-12-31,2317.0,401.0,0.0
2023-12-31,983.0,654000.0,0.0
2023-12-31,22537.0,4503.0,7.0
2023-12-31,963.0,2716.0,2.0
2023-12-31,10162.0,146.0,-48.0
2023-12-31,4324.0,1559.0,0.0
2023-12-31,4857.0,8912.0,-4214.0
2023-12-31,6063.0,3373.0,-1328.0
2023-12-31,26590.0,2305.0,0.0
2023-12-31,8843.0,3307.0,284.0
2023-12-31,3579.0,473.0,-2488.0
2023-12-31,4071.0,12.0,-110.0
2023-12-31,21342.0,716.0,0.0
2023-12-31,26622.0,0.0,0.0
2023-12-31,12512.0,185.0,-154.0
2023-12-31,17959.0,447.0,-97.0
2023-12-31,17281.0,632873.0,-2735104.0
2023-12-31,6954.0,1542.0,0.0
2023-12-31,26487.0,933.0,0.0
2023-12-31,1711.0,1722.0,0.0
2023-12-31,8718.0,1229.0,-245.0
2023-12-31,11521.0,1403.0,-150.0
2023-12-31,9069.0,221.0,0.0
2023-12-31,16636.0,661.0,-1069.0
2023-12-31,15562.0,6497.0,-27.0
2023-12-31,4789.0,9484.0,-1367.0
2023-12-31,6101.0,1758.0,-269.0
2023-12-31,29332.0,575.0,-13.0
2023-12-31,13113.0,1288.0,0.0
2023-12-31,20156.0,9558.0,-7961.0
2023-12-31,90251.0,14378.0,0.0
2023-12-31,27010.0,14.0,0.0
2023-12-31,32629.0,3663.0,0.0
2023-12-31,29331.0,3463.0,0.0
2023-12-31,31864.0,362.0,0.0
2023-12-31,11522.0,3781.0,0.0
2023-12-31,10594.0,1163.0,-2217.0
2023-12-31,4993.0,10477.0,0.0
2023-12-31,2987.0,1095.0,807.0
2023-12-31,23373.0,48.0,0.0
2023-12-31,7666.0,1317.0,-316.0
2023-12-31,9366.0,1162.0,-480.0
2023-12-31,13696.0,6.0,0.0
2023-12-31,28349.0,119.0,0.0
2023-12-31,18748.0,1560.0,-157.0
2023-12-31,13959.0,6.0,0.0
2023-12-31,12591.0,5365.0,0.0
