report_date,cert,institution,total_deposits,interest_bearing_cash,noninterest_cash
,,,,,
2023-12-31,10057.0,BANK OF HANCOCK COUNTY,65251.0,917.0,4472.0
2023-12-31,3850.0,FIRST COMMUNITY BANK XENIA-FLORA,46676.0,1278.0,2600.0
2023-12-31,28868.0,"BROADSTREET BANK, SSB",327549.0,5358.0,12348.0
2023-12-31,14083.0,BISON STATE BANK,55774.0,864.0,729.0
2023-12-31,10202.0,LOWRY STATE BANK,63215.0,1220.0,2492.0
2023-12-31,6959.0,BALLSTON SPA NATIONAL BANK,689578.0,5164.0,17156.0
2023-12-31,17639.0,RVR BANK,449837.0,13044.0,13003.0
2023-12-31,9392.0,BANK OF GRANDIN,183597.0,5092.0,8246.0
2023-12-31,19184.0,HILLTOP NATIONAL BANK,887780.0,14748.0,13471.0
2023-12-31,3384.0,"LIBERTY NATIONAL BANK IN PARIS, THE",360343.0,3400.0,10014.0
2023-12-31,22430.0,WASHITA STATE BANK,38353.0,888.0,8077.0
2023-12-31,23597.0,LAMAR NATIONAL BANK,325544.0,5120.0,10821.0
2023-12-31,17230.0,"ALBANY BANK & TRUST CO., NATIONAL ASSOCIATION",622931.0,8857.0,109195.0
2023-12-31,5408.0,GENOA COMMUNITY BANK,54309.0,1771.0,263.0
2023-12-31,5410.0,"FIRST NATIONAL BANK OF GORDON, THE",283910.0,9415.0,0.0
2023-12-31,16103.0,FARMBANK,71683.0,2696.0,3400.0
2023-12-31,15671.0,"BANK OF CLARENDON, THE",339027.0,7146.0,34590.0
2023-12-31,28865.0,MIDCOUNTRY BANK,851578.0,5759.0,36425.0
2023-12-31,13157.0,KANZA BANK,228115.0,5015.0,2130.0
2023-12-31,16440.0,FARMERS AND MERCHANTS BANK,147068.0,2466.0,38077.0
2023-12-31,24332.0,FIRST CREDIT BANK,350144.0,2194.0,61388.0
2023-12-31,15496.0,FIRST STATE BANK OF BLAKELY,469339.0,5641.0,80506.0
2023-12-31,7506.0,ACNB BANK,1878875.0,21392.0,44516.0
2023-12-31,19434.0,BAC COMMUNITY BANK,708023.0,17684.0,32817.0
2023-12-31,15194.0,KCB BANK,261698.0,7616.0,0.0
2023-12-31,15699.0,PINELAND BANK,396404.0,4525.0,35062.0
2023-12-31,9923.0,ANDERSON BROTHERS BANK,1561991.0,29407.0,81662.0
2023-12-31,20015.0,BESSEMER TRUST COMPANY,467155.0,505.0,149483.0
2023-12-31,5779.0,"PEOPLES BANK, THE",272009.0,3361.0,23261.0
2023-12-31,28870.0,WALLKILL VALLEY FEDERAL SAVINGS AND LOAN ASSOCIATION,373436.0,8085.0,234.0
2023-12-31,13962.0,BANK OF HARTINGTON,116647.0,4532.0,1728.0
2023-12-31,15904.0,"FOUR COUNTY BANK, THE",76507.0,691.0,9821.0
2023-12-31,3388.0,"PERRYTON NATIONAL BANK, THE",161259.0,6253.0,1987.0
2023-12-31,847.0,"PLEASANTS COUNTY BANK, THE",68475.0,2058.0,8128.0
2023-12-31,20268.0,SCALE BANK,450351.0,5481.0,149958.0
2023-12-31,14311.0,ADAMS COUNTY BANK,137112.0,3835.0,4498.0
2023-12-31,6423.0,AMBOY BANK,2197742.0,13589.0,162999.0
2023-12-31,15899.0,FUSION BANK,179136.0,2245.0,30565.0
2023-12-31,1607.0,"BANK OF ELK RIVER, THE",632259.0,6347.0,7773.0
2023-12-31,15050.0,FIRST STATE BANK,257372.0,1710.0,5404.0
2023-12-31,8172.0,LAKE-OSCEOLA STATE BANK,380879.0,19065.0,9655.0
2023-12-31,19070.0,FIRST NATIONAL BANK OF CLARKSDALE,338659.0,7570.0,623.0
2023-12-31,5709.0,"FARMERS BANK, THE",147000.0,1848.0,5718.0
2023-12-31,17011.0,FNB SOUTH,486436.0,26223.0,78349.0
2023-12-31,12201.0,"CLEVELAND STATE BANK, THE",293899.0,4636.0,15463.0
2023-12-31,6560.0,"HUNTINGTON NATIONAL BANK, THE",155523945.0,,
2023-12-31,10012.0,"PORTAGE COUNTY BANK, THE",187620.0,4722.0,40105.0
2023-12-31,1291.0,FARMERS BANK & TRUST COMPANY,2493922.0,37618.0,4089.0
2023-12-31,23622.0,BRISTOL COUNTY SAVINGS BANK,2463840.0,21542.0,15253.0
2023-12-31,10185.0,ELYSIAN BANK,56483.0,2386.0,6936.0
2023-12-31,5425.0,LEGENDS WEST BANK,22741.0,509.0,1184.0
2023-12-31,9378.0,F & C BANK,311719.0,7511.0,1417.0
2023-12-31,16795.0,ALL CAPITAL BANK,71977.0,1409.0,3781.0
2023-12-31,18101.0,"FARMERS STATE BANK OF BUCKLIN, KANSAS, THE",55470.0,1225.0,6379.0
2023-12-31,16243.0,BANK OF EASTERN OREGON,775823.0,24007.0,42583.0
2023-12-31,30291.0,"FIRST FEDERAL BANK LITTLEFIELD, TEXAS, SSB",44492.0,2269.0,6048.0
2023-12-31,10956.0,NORTHVIEW BANK,382458.0,7769.0,7081.0
2023-12-31,26189.0,"HAVERFORD TRUST COMPANY, THE",119402.0,2107.0,39813.0
2023-12-31,4365.0,FIRST MERCHANTS BANK,14922310.0,112649.0,436080.0
2023-12-31,26260.0,"FIRST NATIONAL BANK IN MARLOW, THE",56555.0,1377.0,2530.0
2023-12-31,2224.0,"BANK OF BRIDGER, NATIONAL ASSOCIATION",672018.0,8734.0,1970.0
2023-12-31,29904.0,ELIZABETHTON FEDERAL SAVINGS BANK,182529.0,2709.0,31361.0
2023-12-31,3091.0,"FIRST NATIONAL BANK OF BASTROP, THE",859289.0,14021.0,16461.0
2023-12-31,7900.0,"NEXTIER BANK, NA",1838592.0,21336.0,11582.0
2023-12-31,9998.0,CAPON VALLEY BANK,192200.0,2647.0,14455.0
2023-12-31,4147.0,BANK7,1591431.0,26684.0,172038.0
2023-12-31,9881.0,SECURITY BANK AND TRUST COMPANY,120532.0,1073.0,1974.0
2023-12-31,15477.0,CITIZENS BANK OF AMERICUS,403361.0,2009.0,81467.0
2023-12-31,34711.0,FARMERS BUILDING AND SAVINGS BANK,87254.0,1758.0,24312.0
2023-12-31,10015.0,SECURITY BANK,152424.0,3898.0,252.0
2023-12-31,6803.0,MCNB BANK AND TRUST CO.,294177.0,3504.0,6536.0
